Load Factor (passenger-miles as a proportion of available seat-miles in percent (%)) (United Air Lines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,67.9,75.96,70.79
2002,11,67.06,72.81,69.18
2002,12,75.33,77.07,75.96
2002,TOTAL,71.33,77.75,73.65
2003,1,67.7,76.31,70.83
2003,2,70.38,69.58,70.09
2003,3,74.9,71.75,73.79
2003,4,76.43,62.34,71.88
2003,5,78.44,76.32,77.79
2003,6,81.61,83.7,82.29
2003,7,81.81,85.74,83.09
2003,8,80.96,85.61,82.55
2003,9,70.79,81.84,74.78
2003,10,74.21,80.82,76.59
2003,11,72.13,81.89,75.62
2003,12,75.5,83.7,78.38
2003,TOTAL,75.52,78.52,76.55
2004,1,67.66,79.53,71.88
2004,2,71.06,76.57,73
2004,3,77.52,84.87,80.06
2004,4,79.31,81.36,80.01
2004,5,78.22,84.15,80.22
2004,6,84.5,89.37,86.15
2004,7,84.64,85.51,84.94
2004,8,82.97,85.57,83.85
2004,9,74.57,82.98,77.55
2004,10,77.02,79.74,77.98
2004,11,76.37,75.79,76.15
2004,12,77.45,78.22,77.74
2004,TOTAL,77.83,81.98,79.28
2005,1,75.34,77.49,76.21
2005,2,75.82,73.29,74.81
2005,3,82.84,83.86,83.25
2005,4,81.17,79.4,80.46
2005,5,82.55,81.74,82.23
2005,6,88.3,88.64,88.43
2005,7,87.41,85.52,86.66
2005,8,84.99,85.18,85.07
2005,9,79.04,82.8,80.54
2005,10,80.96,81,80.98
2005,11,79.77,80.5,80.05
2005,12,79.87,80.21,80
2005,TOTAL,81.64,81.74,81.68
2006,1,76.71,79.07,77.66
2006,2,78.19,74.62,76.8
2006,3,83.81,84.6,84.11
2006,4,84.1,81.13,82.92
2006,5,83.74,84.31,83.96
2006,6,87.23,90.35,88.43
2006,7,87.63,88.13,87.83
2006,8,82.46,85.15,83.5
2006,9,78.07,82.07,79.66
2006,10,81.13,80.44,80.86
2006,11,79.25,80.43,79.72
2006,12,79.2,80.2,79.6
2006,TOTAL,81.92,82.65,82.21
2007,1,76.73,79.99,78.04
2007,2,79.06,75.26,77.53
2007,3,84.93,85.44,85.13
2007,4,86.67,80.86,84.31
2007,5,86.28,82.83,84.86
2007,6,90.14,88.16,89.32
2007,7,88.15,86.66,87.54
2007,8,87.65,84.82,86.49
2007,9,79.43,81.77,80.43
2007,10,82.02,80.3,81.3
2007,11,80.49,78.44,79.62
2007,12,77.77,79.92,78.71
2007,TOTAL,83.43,82.16,82.9
2008,1,75.38,77.74,76.44
2008,2,76.9,71.06,74.33
2008,3,83.42,82.05,82.84
2008,4,83.94,76.53,80.7
2008,5,84.65,80.15,82.68
2008,6,87.98,84.66,86.57
2008,7,86.57,83.41,85.23
2008,8,86.33,82.51,84.7
2008,9,80.99,78.63,79.94
2008,10,84.4,77.82,81.51
2008,11,79.42,74.17,77.12
2008,12,81.77,77.59,79.93
2008,TOTAL,82.85,79.01,81.18
2009,1,77.37,74.43,76.05
2009,2,77.37,68.19,73.47
2009,3,83.07,74.44,79.41
2009,4,85.35,74.6,80.53
2009,5,85.16,75.03,80.61
2009,6,89.04,84.55,87.09
2009,7,89.17,86.33,87.94
2009,8,87.99,86.57,87.38
2009,9,82.53,82.01,82.3
2009,10,85.51,82.21,84.07
2009,11,81.83,80.3,81.18
2009,12,81.58,85.06,83.05
2009,TOTAL,84.02,79.62,82.1
2010,1,78.12,81.11,79.4
2010,2,81.16,77.01,79.4
2010,3,85.51,82.89,84.4
2010,4,85.11,78.13,82.07
2010,5,85.73,82.47,84.23
2010,6,89.61,88.37,89.05
2010,7,88.97,87.04,88.1
2010,8,88.83,86.71,87.87
2010,9,84.24,85.26,84.72
2010,10,86.54,82.41,84.64
2010,11,83.29,80.2,81.93
2010,12,82.69,82.99,82.82
